DATE,IRLTLT01AUM156N
2015-09-01,2.7
2015-10-01,2.62
2015-11-01,2.85
2015-12-01,2.85
2016-01-01,2.73
2016-02-01,2.48
2016-03-01,2.57
2016-04-01,2.52
2016-05-01,2.32
2016-06-01,2.12
2016-07-01,1.93
2016-08-01,1.88
2016-09-01,1.99
2016-10-01,2.2
2016-11-01,2.51
2016-12-01,2.79
2017-01-01,2.73
2017-02-01,2.75
2017-03-01,2.81
2017-04-01,2.56
2017-05-01,2.54
2017-06-01,2.41
2017-07-01,2.64
2017-08-01,2.6
2017-09-01,2.7
2017-10-01,2.78
2017-11-01,2.57
2017-12-01,2.58
2018-01-01,2.75
2018-02-01,2.86
2018-03-01,2.72
2018-04-01,2.74
2018-05-01,2.79
2018-06-01,2.7
2018-07-01,2.64
2018-08-01,2.59
2018-09-01,2.63
2018-10-01,2.68
2018-11-01,2.68
